conv_x_name	program_cluster
4_Шведов_Константин_Анатольевич	fuzzy
4_Бахметьева_Марина_Игоревна	fuzzy
4_Оджаев_Рахмет_Курбандурдыевич	fuzzy
4_Лапина_Софья_Михайловна	fuzzy
4_Коварский_Артём_Евгеньевич	fuzzy
4_Лучкина_Анна_Дмитриевна	fuzzy
4_Муравьёва_Анна_Сергеевна	fuzzy
4_Подкользина_Евгения_Борисовна	fuzzy
4_Волчанский_Андрей_Петрович	fuzzy
4_Думаревский_Александр_Дмитриевич	fuzzy
5_Семенюк_Павел_Игоревич	fuzzy
5_Бахметьева_Марина_Игоревна	fuzzy
5_Ронжин_Дмитрий_Владимирович	fuzzy
5_Нечаев_Никита_Сергеевич	fuzzy
5_Змиевский_Леонид_Вячеславович	fuzzy
5_Лапина_Софья_Михайловна	fuzzy
5_Думаревский_Александр_Дмитриевич	fuzzy
5_Понфиленко_Анастасия_Николаевна	fuzzy
5_Волчанский_Андрей_Петрович	fuzzy
5_Шведов_Константин_Анатольевич	fuzzy
5_Савин_Павел_Андреевич	fuzzy
5_Глунчадзе_Ираклий_Вахтангович	fuzzy
5_Проничкин_Юрий_Викторович	fuzzy
5_Ариас-Альварес_Владимир_Владимирович	fuzzy
5_Сергейчик_Руслан_Валерьевич	fuzzy
5_Бун-Ян-Тун_Владислав_Владимирович	fuzzy
5_Провидухина_Мария_Игоревна	fuzzy
5_Сакаев_Роберт_Марселевич	fuzzy
5_Трошина_Дарья_Игоревна	fuzzy
5_Святкин_Иван_Леонидович	fuzzy
5_Мамедов_Рамин_Кямран_Оглы	fuzzy
5_Базанов_Иван_Алексеевич	fuzzy
5_Милютин_Эдуард_Сергеевич	fuzzy
6_Кудрявцев_Сергей_Сергеевич	fuzzy
6_Поликушин_Владимир_Николаевич	fuzzy
6_Корж_Даниил_Сергеевич	fuzzy
6_Зарубин_Николай_Александрович	fuzzy
6_Новицкая_Екатерина_Алексеевна	fuzzy
6_Батутина_Мария_Алексеевна	fuzzy
6_Исмагилов_Алексей_Альбертович	fuzzy
6_Хасанов_Рафаэль_Ильгизович	fuzzy
6_Хан_Татьяна_Григорьевна	fuzzy
6_Чебунина_Татьяна_Александровна	fuzzy
6_Саакян_Вильям_Рустамович	fuzzy
6_Остроухова_Наталья_Владимировна	fuzzy
6_Украинский_Дмитрий_Владимирович	fuzzy
6_Трошина_Дарья_Игоревна	fuzzy
6_Гигин_Иван_Сергеевич	fuzzy
6_Семенюк_Павел_Игоревич	fuzzy
6_Захахатнов_Дмитрий_Денисович	fuzzy
6_Суркова_Анастасия_Юрьевна	fuzzy
6_Московский_Борис_Игоревич	fuzzy
6_Дмитриев_Илларион_Александрович	fuzzy
6_Авилова_Екатерина_Михайловна	fuzzy
6_Рогачёв_Александр_Викторович	fuzzy
7_Савин_Павел_Андреевич	fuzzy
7_Бекбулатов_Рамзан_Ломалиевич	fuzzy
7_Рогачёв_Александр_Викторович	fuzzy
7_Хасанов_Рафаэль_Ильгизович	fuzzy
7_Коновалов_Дмитрий_Игоревич	fuzzy
7_Сакаев_Роберт_Марселевич	fuzzy
7_Малания_Георгий_Муртазович	fuzzy
7_Третьяков_Артём_Алексеевич	fuzzy
7_Жуковский_Никита_Алексеевич	fuzzy
7_Кудасов_Матвей_Джамалханович	fuzzy
7_Фиткович_Валерия_Владимировна	fuzzy
7_Батутина_Мария_Алексеевна	fuzzy
7_Кухарчук_Иван_Андреевич	fuzzy
7_Салимгереев_Махач_Арсенович	fuzzy
7_Гусейнов_Сэймур_Элданизович	fuzzy
7_Малиновский_Георгий_Андреевич	fuzzy
7_Филатов_Кирилл_Андреевич	fuzzy
7_Митрофанов_Дмитрий_Георгиевич	fuzzy
8_Алиев_Рамиль_Камиль_Оглы	fuzzy
8_Сиухина_Арина_Алексеевна	fuzzy
8_Ефимкина_Арина_Вячеславовна	fuzzy
8_Краснова_Анастасия_Александровна	fuzzy
8_Фенелонов_Даниил_Игоревич	fuzzy
