convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
4	2.1	2.0	1.0	https://vk.com/wall-33327655_2227	2014-11-19	21:12	2014-11-20	135.0	89.0	1.0	1.0	https://vk.com/wall-33327655_2329	2014-11-27	23:15
4	2.1	2.0	1.0	https://vk.com/wall-33327655_2314	2014-11-26	0:00	2014-11-26	135.0	89.0	1.0	1.0	https://vk.com/wall-33327655_2329	2014-11-27	23:15
5	2.1	2.0	1.0	https://vk.com/wall-33327655_3206	2015-10-14	0:32	2015-10-14	128.0	80.0	16.0	1.0	https://vk.com/wall-33327655_3244	2015-10-14	22:39
6	2.1	2.0	1.0	https://vk.com/wall-33327655_5203	2016-10-20	0:07	2016-10-20	125.0	63.0	11.0	0.0	https://vk.com/wall-33327655_5232	2016-10-20	18:32
7	2.1	2.0	1.0	https://vk.com/wall-33327655_6680	2017-10-29	23:30	2017-10-30	122.0	62.0	13.0	0.0	https://vk.com/wall-33327655_6702	2017-11-01	20:00
8	2.1	2.0	1.0	https://vk.com/wall-33327655_7622	2018-10-23	0:03	2018-10-23	134.0	81.0	1.0	5.0	https://vk.com/wall-33327655_7677	2018-10-26	19:00
9	2.1	2.0	1.0	https://vk.com/wall-33327655_8321	2019-10-23	5:02	2019-10-23	129.0	93.0	1.0	1.0	https://vk.com/wall-33327655_8374	2019-10-27	23:09
10	2.1	2.0	1.0	https://vk.com/wall-33327655_9251	2020-11-05	20:45	2020-11-06	150.0	76.0	2.0	7.0	https://vk.com/wall-33327655_9342	2020-11-11	16:03
11	2.1	2.0	1.0	https://vk.com/wall-33327655_9936	2021-10-13	11:44	2021-10-13	127.0	66.0	6.0	0.0	https://vk.com/wall-33327655_9998	2021-10-17	20:02
4	2.2	2.0	2.0	https://vk.com/wall-33327655_2202	2014-11-13	21:39	2014-11-14	135.0	87.0	7.0	0.0	https://vk.com/wall-33327655_2215	2014-11-17	21:06
5	2.2	2.0	2.0	https://vk.com/wall-33327655_3263	2015-10-15	0:59	2015-10-15	132.0	69.0	3.0	0.0	https://vk.com/wall-33327655_3289	2015-10-15	23:47
