meaningful_word	convocation_no	parent_meaningful_word	cnt
мех-мат	1	мех-мат	1.0
изнутри	1	изнутри	1.0
удачи	1	удача	1.0
интересует	1	интересовать	1.0
активным	1	активный	1.0
участником	1	участник	1.0
класса	1	класс	1.0
гимназии	1	гимназия	1.0
участвовала	1	участвовать	1.0
городских	1	городской	1.0
играла	1	играть	1.0
школьном	1	школьный	1.0
театре	1	театр	1.0
постановщиком	1	постановщик	1.0
танцев	1	танец	1.0
немного	1	немного	1.0
мной	1	я	1.0
согласятся	1	согласиться	1.0
веселее	1	весёлый	1.0
добрый	1	добрый	1.0
путь	1	путь	1.0
мехмату	1	мехмат	1.0
признаюсь	1	признаться	1.0
тернистым	1	тернистый	1.0
напряженной	1	напрячь	1.0
подготовки	1	подготовка	1.0
наконец	1	наконец	1.0
мечта	1	мечта	1.0
сбылась	1	сбыться	1.0
решающим	1	решающий	1.0
оказалось	1	оказаться	1.0
влияние	1	влияние	1.0
моего	1	мой	1.0
деда	1	дед	1.0
мехматянином	1	мехматянин	1.0
жалею	1	жалеть	1.0
поступил	1	поступить	1.0
сюда	1	сюда	1.0
преподаватели	1	преподаватель	1.0
атмосфера	1	атмосфера	1.0
любимые	1	любимый	1.0
одногруппники	1	одногруппник	1.0
математика	1	математик	1.0
сдавать	1	сдавать	1.0
тяжело	1	тяжело	1.0
справился	1	справиться	1.0
раз	1	раз	1.0
ключ	1	ключ	1.0
успеху	1	успех	1.0
пробую	1	пробовать	1.0
роли	1	роль	1.0
преподавателя	1	преподаватель	1.0
громко	1	громко	1.0
сказано	1	сказать	1.0
своего	1	свой	1.0
любимого	1	любимый	1.0
честью	1	честь	1.0
решить	1	решить	1.0
быстрее	1	быстрый	1.0
эффективнее	1	эффективный	1.0
совмещать	1	совмещать	1.0
работу	1	работа	1.0
обязанности	1	обязанность	1.0
профорга	1	профорг	1.0
ребята	1	ребята	1.0
проголосуют	1	проголосовать	1.0
невозможное	1	невозможный	1.0
оправдать	1	оправдать	1.0
доверие	1	доверие	1.0
благодарю	1	благодарить	1.0
внимание	1	внимание	1.0
кунденко	1	кунденко	1.0
вадим	1	вадим	1.0
свое	1	свой	1.0
свободное	1	свободный	1.0
уделять	1	уделять	1.0
учебе	1	учёба	1.0
развитию	1	развитие	1.0
активистом	1	активист	1.0
концерты	1	концерт	1.0
принимала	1	принимать	1.0
сейчас	1	сейчас	1.0
профоргом	1	профорг	1.0
объединяет	1	объединять	1.0
учеба	1	учёба	1.0
каждого	1	каждый	1.0
найдутся	1	найтись	1.0
темы	1	тема	1.0
разговоров	1	разговор	1.0
все-таки	1	всё-таки	1.0
сплоченности	1	сплочённость	1.0
общается	1	общаться	1.0
ходит	1	ходить	1.0
угрюмый	1	угрюмый	1.0
математики	1	математика	1.0
серьезные	1	серьёзный	1.0
лет	1	год	1.0
наслаждаться	1	наслаждаться	1.0
общением	1	общение	1.0
веселиться	1	веселиться	1.0
сидеть	1	сидеть	1.0
уткнувшись	1	уткнуться	1.0
учебники	1	учебник	1.0
какие-нибудь	1	какой-нибудь	1.0
конкурсы	1	конкурс	1.0
соревнования	1	соревнование	1.0
сплотить	1	сплотить	1.0
коллективы	1	коллектив	1.0
необходимы	1	необходимый	1.0
какие-то	1	какой-то	1.0
поощрения	1	поощрение	1.0
пообщаться	1	пообщаться	1.0
старшекурсниками	1	старшекурсник	1.0
поделиться	1	поделиться	1.0
нами	1	мы	1.0
рассказать	1	рассказать	1.0
преподавателях	1	преподаватель	1.0
некоторых	1	некоторый	1.0
предметах	1	предмет	1.0
экзаменах	1	экзамен	1.0
выкручиваются	1	выкручиваться	1.0
сами	1	сам	1.0
знакомятся	1	знакомиться	1.0
разговор	1	разговор	1.0
опытным	1	опытный	1.0
человеком	1	человек	1.0
заметно	1	заметно	1.0
улучшит	1	улучшить	1.0
многих	1	многий	1.0
устраивает	1	устраивать	1.0
кабины	1	кабина	1.0
плохо	1	плохо	1.0
часто	1	часто	1.0
полу	1	пол	1.0
вода	1	вода	1.0
оттого	1	оттого	1.0
вечерам	1	вечер	1.0
большая	1	больший	1.0
вид	1	вид	1.0
радует	1	радовать	1.0
глаз	1	глаз	1.0
девушки	1	девушка	1.0
пытались	1	пытаться	1.0
избавиться	1	избавиться	1.0
получилось	1	получиться	1.0
планируют	1	планировать	1.0
записаться	1	записаться	1.0
кружки	1	кружка	1.0
следующем	1	следующий	1.0
признаться	1	признаться	1.0
читают	1	читать	1.0
броскими	1	броский	1.0
группам	1	группа	1.0
заинтересовывать	1	заинтересовывать	1.0
тудентов	1	тудент	1.0
скажу	1	сказать	1.0
потоке	1	поток	1.0
учатся	1	учиться	1.0
безграмотные	1	безграмотный	1.0
скучные	1	скучный	1.0
талантливы	1	талантливый	1.0
заинтересованы	1	заинтересовать	1.0
чем-то	1	что-то	1.0
своем	1	свой	1.0
музыке	1	музыка	1.0
политике	1	политика	1.0
искусстве	1	искусство	1.0
отказались	1	отказаться	1.0
дополнительных	1	дополнительный	1.0
английскому	1	английский	1.0
программированию	1	программирование	1.0
спросить	1	спросить	1.0
узнать	1	узнать	1.0
стороны	1	сторона	1.0
помочь	1	помочь	1.0
суровые	1	суровый	1.0
будни	1	будни	1.0
мех-мате	1	мех-мат	1.0
судьба	1	судьба	1.0
хотела	1	хотеть	1.0
членом	1	член	1.0
прежде	1	прежде	1.0
проживания	1	проживание	1.0
вечных	1	вечный	1.0
охот	1	охота	1.0
чайники	1	чайник	1.0
утюги	1	утюг	1.0
режима	1	режим	1.0
душевых	1	душевая	1.0
фдсах	1	фдс	1.0
болезненные	1	болезненный	1.0
живущих	1	жить	1.0
общагах	1	общага	1.0
приоритетным	1	приоритетный	1.0
направлением	1	направление	1.0
проблема	1	проблема	1.0
туалетов	1	туалет	1.0
главном	1	главный	1.0
здании	1	здание	1.0
вызывают	1	вызывать	1.0
отвращение	1	отвращение	1.0
всякого	1	всякий	1.0
нормального	1	нормальный	1.0
позорят	1	позорить	1.0
университет	1	университет	1.0
глазах	1	глаз	1.0
зарубежных	1	зарубежный	1.0
ученых	1	учёный	1.0
чрезвычайно	1	чрезвычайно	1.0
качеством	1	качество	1.0
образования	1	образование	1.0
поскольку	1	поскольку	1.0
самое	1	самый	1.0
качество	1	качество	1.0
терзает	1	терзать	1.0
первый	1	первый	1.0
множество	1	множество	1.0
предложений	1	предложение	1.0
которая	1	который	1.0
последнее	1	последний	1.0
встречает	1	встречать	1.0
слабую	1	слабый	1.0
поддержку	1	поддержка	1.0
финансовых	1	финансовый	1.0
вопросах	1	вопрос	1.0
известный	1	известный	1.0
твердыми	1	твёрдый	1.0
принципами	1	принцип	1.0
основанными	1	основать	1.0
идеях	1	идея	1.0
справедливости	1	справедливость	1.0
демократии	1	демократия	1.0
любому	1	любой	1.0
желающему	1	желать	1.0
интересы	1	интерес	1.0
столь	1	столь	1.0
разностороннего	1	разносторонний	1.0
находить	1	находить	1.0
компромиссы	1	компромисс	1.0
продуктивного	1	продуктивный	1.0
общения	1	общение	1.0
важно	1	важно	1.0
признавать	1	признавать	1.0
ошибки	1	ошибка	1.0
готова	1	готовый	1.0
быть	1	быть	1.0
выразителем	1	выразитель	1.0
настроений	1	настроение	1.0
чаяний	1	чаяние	1.0
наше	1	наш	1.0
будущее	1	будущее	1.0
руках	1	рука	1.0
краткий	1	краткий	1.0
внеурочной	1	внеурочный	1.0
данный	1	данный	1.0
момент	1	момент	1.0
существует	1	существовать	1.0
организаций	1	организация	1.0
старый	1	старый	1.0
студкомиссия	1	студкомиссия	1.0
